National Center for Education Statistics,,,,
Student financial aid, selected years,,,
199324,Piedmont Community College,-,Average amount,4842
199324,Piedmont Community College,State/Local grants,Number receiving,35
199324,Piedmont Community College,-,Average amount,1441
199324,Piedmont Community College,Institutional grants,Number receiving,20
199324,Piedmont Community College,-,Average amount,1174
199324,Piedmont Community College,Loans,Number receiving,0
199324,Piedmont Community College,-,Average amount,-
199333,Pitt Community College,First-time full-time undergraduates,Total,863
199333,Pitt Community College,Any aid,Number receiving,693
199333,Pitt Community College,Federal grants,Number receiving,554
199333,Pitt Community College,-,Average amount,4950
199333,Pitt Community College,State/Local grants,Number receiving,170
199333,Pitt Community College,-,Average amount,1200
199333,Pitt Community College,Institutional grants,Number receiving,138
199333,Pitt Community College,-,Average amount,1430
199333,Pitt Community College,Loans,Number receiving,262
199333,Pitt Community College,-,Average amount,5717
199421,Randolph Community College,First-time full-time undergraduates,Total,234
199421,Randolph Community College,Any aid,Number receiving,177
199421,Randolph Community College,Federal grants,Number receiving,146
199421,Randolph Community College,-,Average amount,4609
